                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16578,                0.70968,                      1,                0.26945,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.16445,                0.74194,                      1,                0.28696,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.13535,                0.74194,                      1,                 0.2773,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.12518,                0.83871,                      1,                0.25724,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.08509,                0.90323,                      1,                0.23394,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.08093,                0.93548,                      1,                0.22107,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.05392,                0.96774,                      1,                0.20878,             0.00010039,             0.00010039,             0.00010039
                      7,                0.05752,                0.96774,                      1,                0.20317,             0.00010732,             0.00010732,             0.00010732
                      8,                0.03426,                      1,                      1,                0.19339,             0.00011213,             0.00011213,             0.00011213
                      9,                0.03238,                      1,                      1,                0.18735,             0.00011481,             0.00011481,             0.00011481
                     10,                0.02485,                      1,                      1,                0.18523,             0.00011538,             0.00011538,             0.00011538
                     11,                0.02091,                      1,                      1,                0.17897,             0.00011383,             0.00011383,             0.00011383
                     12,                0.02039,                      1,                      1,                0.17841,             0.00011016,             0.00011016,             0.00011016
                     13,                0.01698,                      1,                      1,                0.17338,             0.00010436,             0.00010436,             0.00010436
                     14,                 0.0191,                      1,                      1,                0.16719,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.01282,                      1,                      1,                0.16541,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.01184,                      1,                      1,                0.16548,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.02032,                      1,                      1,                0.16745,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.01421,                      1,                      1,                0.16535,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.01815,                      1,                      1,                0.16653,             2.5065e-05,             2.5065e-05,             2.5065e-05
