                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.21662,                0.74194,                      1,                 0.2739,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.20912,                0.74194,                      1,                0.27583,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.19651,                0.77419,                      1,                0.26902,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.14087,                0.80645,                      1,                0.25168,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.11376,                0.93548,                      1,                0.22745,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.09057,                0.93548,                      1,                0.21752,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.07182,                0.96774,                      1,                0.20487,             0.00010039,             0.00010039,             0.00010039
                      7,                0.06349,                0.96774,                      1,                0.20087,             0.00010732,             0.00010732,             0.00010732
                      8,                0.05163,                      1,                      1,                0.19257,             0.00011213,             0.00011213,             0.00011213
                      9,                0.05694,                      1,                      1,                0.18839,             0.00011481,             0.00011481,             0.00011481
                     10,                0.03695,                      1,                      1,                0.18098,             0.00011538,             0.00011538,             0.00011538
                     11,                0.03918,                      1,                      1,                0.17761,             0.00011383,             0.00011383,             0.00011383
                     12,                0.02945,                      1,                      1,                0.17291,             0.00011016,             0.00011016,             0.00011016
                     13,                0.02374,                      1,                      1,                0.17138,             0.00010436,             0.00010436,             0.00010436
                     14,                0.02436,                      1,                      1,                0.16798,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.01747,                      1,                      1,                0.16735,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.02077,                      1,                      1,                0.16497,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.02213,                      1,                      1,                0.16404,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                 0.0167,                      1,                      1,                0.16422,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.01554,                      1,                      1,                0.16341,             2.5065e-05,             2.5065e-05,             2.5065e-05
