                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.58457,                0.90323,                      1,                0.50729,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.56433,                0.90323,                      1,                0.51228,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.49926,                0.87097,                      1,                0.52457,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.46017,                0.83871,                      1,                0.54545,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.37405,                0.74194,                      1,                0.57451,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.30483,                0.64516,                      1,                0.60435,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.25876,                 0.3871,                      1,                0.64135,             0.00010039,             0.00010039,             0.00010039
                      7,                0.21198,                0.25806,                      1,                0.66229,             0.00010732,             0.00010732,             0.00010732
                      8,                0.18739,                0.09677,                      1,                0.70128,             0.00011213,             0.00011213,             0.00011213
                      9,                0.18095,                0.09677,                      1,                0.71963,             0.00011481,             0.00011481,             0.00011481
                     10,                0.13896,                0.06452,                      1,                0.75184,             0.00011538,             0.00011538,             0.00011538
                     11,                0.12043,                0.03226,                      1,                0.76268,             0.00011383,             0.00011383,             0.00011383
                     12,                0.10542,                0.03226,                      1,                0.77921,             0.00011016,             0.00011016,             0.00011016
                     13,                0.10422,                0.03226,                      1,                0.78575,             0.00010436,             0.00010436,             0.00010436
                     14,                0.08693,                      0,                      1,                0.79438,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.07628,                      0,                      1,                0.79668,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.07821,                      0,                      1,                0.80231,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.08263,                      0,                      1,                 0.8047,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.06686,                      0,                      1,                0.80516,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.06153,                      0,                      1,                0.80579,             2.5065e-05,             2.5065e-05,             2.5065e-05
