                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17632,                0.74194,                      1,                 0.2745,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.17082,                0.74194,                      1,                0.28449,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.15332,                0.74194,                      1,                0.27519,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.12306,                0.77419,                      1,                0.25789,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.09001,                0.93548,                      1,                0.23434,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.06335,                0.96774,                      1,                0.22026,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.05498,                      1,                      1,                0.21063,             0.00010039,             0.00010039,             0.00010039
                      7,                0.04578,                      1,                      1,                0.20373,             0.00010732,             0.00010732,             0.00010732
                      8,                0.04367,                      1,                      1,                0.19367,             0.00011213,             0.00011213,             0.00011213
                      9,                0.04158,                      1,                      1,                   0.19,             0.00011481,             0.00011481,             0.00011481
                     10,                0.02734,                      1,                      1,                0.17884,             0.00011538,             0.00011538,             0.00011538
                     11,                0.02438,                      1,                      1,                0.17556,             0.00011383,             0.00011383,             0.00011383
                     12,                0.02019,                      1,                      1,                0.17087,             0.00011016,             0.00011016,             0.00011016
                     13,                0.02406,                      1,                      1,                0.16894,             0.00010436,             0.00010436,             0.00010436
                     14,                0.01676,                      1,                      1,                0.16585,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.02011,                      1,                      1,                0.16441,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.01668,                      1,                      1,                0.16382,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.01438,                      1,                      1,                0.16323,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.02044,                      1,                      1,                0.16205,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.01433,                      1,                      1,                0.16079,             2.5065e-05,             2.5065e-05,             2.5065e-05
