                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.05373,                      0,                      1,                 0.8064,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.06379,                      0,                      1,                0.80834,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.05027,                      0,                      1,                0.81214,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.04498,                      0,                      1,                0.81632,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.03471,                      0,                      1,                0.82053,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.03089,                      0,                      1,                0.82333,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.02037,                      0,                      1,                0.82616,             0.00010039,             0.00010039,             0.00010039
                      7,                0.02095,                      0,                      1,                 0.8284,             0.00010732,             0.00010732,             0.00010732
                      8,                0.01464,                      0,                      1,                0.83131,             0.00011213,             0.00011213,             0.00011213
                      9,                0.02772,                      0,                      1,                0.83321,             0.00011481,             0.00011481,             0.00011481
                     10,                0.01361,                      0,                      1,                0.83573,             0.00011538,             0.00011538,             0.00011538
                     11,                0.01403,                      0,                      1,                 0.8372,             0.00011383,             0.00011383,             0.00011383
                     12,                0.00912,                      0,                      1,                0.83852,             0.00011016,             0.00011016,             0.00011016
                     13,                0.00998,                      0,                      1,                0.83916,             0.00010436,             0.00010436,             0.00010436
                     14,                0.01034,                      0,                      1,                0.84037,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.00757,                      0,                      1,                0.84098,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.00918,                      0,                      1,                0.84153,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.01386,                      0,                      1,                0.84198,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.00551,                      0,                      1,                0.84206,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.00819,                      0,                      1,                 0.8421,             2.5065e-05,             2.5065e-05,             2.5065e-05
