                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16578,                0.30769,                      1,                0.39456,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.16445,                0.23077,                      1,                 0.3657,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.13535,                0.19231,                      1,                0.36883,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.12518,                0.11538,                      1,                0.38858,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.08509,                0.07692,                      1,                 0.4114,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.08093,                0.03846,                      1,                0.42226,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.05392,                0.03846,                      1,                0.43404,             0.00010039,             0.00010039,             0.00010039
                      7,                0.05752,                0.03846,                      1,                0.44107,             0.00010732,             0.00010732,             0.00010732
                      8,                0.03426,                      0,                      1,                0.45365,             0.00011213,             0.00011213,             0.00011213
                      9,                0.03238,                      0,                      1,                0.46324,             0.00011481,             0.00011481,             0.00011481
                     10,                0.02485,                      0,                      1,                0.46584,             0.00011538,             0.00011538,             0.00011538
                     11,                0.02091,                      0,                      1,                0.47693,             0.00011383,             0.00011383,             0.00011383
                     12,                0.02039,                      0,                      1,                0.47677,             0.00011016,             0.00011016,             0.00011016
                     13,                0.01698,                      0,                      1,                 0.4865,             0.00010436,             0.00010436,             0.00010436
                     14,                 0.0191,                      0,                      1,                 0.5002,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.01282,                      0,                      1,                0.50369,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.01184,                      0,                      1,                0.50263,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.02032,                      0,                      1,                0.49893,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.01421,                      0,                      1,                0.50432,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.01815,                      0,                      1,                0.50132,             2.5065e-05,             2.5065e-05,             2.5065e-05
