                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.21907,                0.74194,                      1,                0.27142,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 0.1956,                0.74194,                      1,                0.27789,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.18853,                0.74194,                      1,                0.26916,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                0.14345,                0.83871,                      1,                 0.2482,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.11569,                0.90323,                      1,                0.22612,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.09262,                0.93548,                      1,                 0.2151,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.06381,                0.96774,                      1,                0.20299,             0.00010039,             0.00010039,             0.00010039
                      7,                0.06141,                      1,                      1,                0.19865,             0.00010732,             0.00010732,             0.00010732
                      8,                0.05559,                      1,                      1,                0.18971,             0.00011213,             0.00011213,             0.00011213
                      9,                0.05299,                      1,                      1,                0.18555,             0.00011481,             0.00011481,             0.00011481
                     10,                0.04008,                      1,                      1,                0.17773,             0.00011538,             0.00011538,             0.00011538
                     11,                0.03334,                      1,                      1,                0.17409,             0.00011383,             0.00011383,             0.00011383
                     12,                 0.0321,                      1,                      1,                0.17077,             0.00011016,             0.00011016,             0.00011016
                     13,                0.02205,                      1,                      1,                0.16918,             0.00010436,             0.00010436,             0.00010436
                     14,                0.02226,                      1,                      1,                0.16609,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.01621,                      1,                      1,                0.16486,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.02159,                      1,                      1,                0.16319,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.01922,                      1,                      1,                0.16235,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.01648,                      1,                      1,                0.16162,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.01586,                      1,                      1,                0.16156,             2.5065e-05,             2.5065e-05,             2.5065e-05
