                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3277,                  2.812,                 1.5314,                0.23678,                0.63985,                0.22539,                0.15854,                 1.1499,                 9.8511,                 1.1357,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.3865,                 2.2814,                 1.7122,                0.59416,                0.57244,                0.52358,                0.38825,                 1.1298,                 2.0833,                 1.1726,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      2,                 1.0627,                 2.2882,                 1.4502,                 0.5202,                0.49425,                0.49896,                0.36348,                 1.2055,                 2.4297,                 1.1983,             9.1685e-05,             9.1685e-05,             9.1685e-05
                      3,                0.71698,                 3.3418,                0.80271,                0.72832,                 0.3092,                0.43126,                0.29512,                0.97402,                 2.5886,                 1.0857,              0.0001105,              0.0001105,              0.0001105
                      4,                 1.6439,                 3.0513,                 1.4414,                0.42095,                0.34616,                0.35425,                0.25452,                0.95073,                  2.898,                 1.0916,             0.00012084,             0.00012084,             0.00012084
                      5,                0.73593,                 2.5654,                0.74766,                0.45632,                0.36398,                0.48137,                0.37713,                0.93333,                 2.4935,                 1.0837,             0.00012268,             0.00012268,             0.00012268
                      6,                 1.2434,                 1.8623,                 1.1744,                0.36792,                0.87423,                0.52364,                0.39401,                0.90839,                 2.6567,                  1.037,             0.00011603,             0.00011603,             0.00011603
                      7,                0.70606,                 2.5139,                0.72553,                0.48825,                0.64189,                0.58136,                0.43749,                0.87046,                 2.4762,                  1.015,              0.0001009,              0.0001009,              0.0001009
                      8,                 1.1687,                 2.4135,                 1.0988,                0.66178,                0.66015,                0.65599,                0.50462,                0.80712,                 2.3096,                0.97457,              7.728e-05,              7.728e-05,              7.728e-05
                      9,                0.84344,                  1.432,                0.97142,                0.72842,                0.67479,                0.78695,                0.60961,                0.80145,                 2.0991,                0.97205,             4.5171e-05,             4.5171e-05,             4.5171e-05
